policyID,statecode,county,eq_site_limit,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2011,tiv_2012,eq_site_deductible,hu_site_deductible,fl_site_deductible,fr_site_deductible,point_latitude,point_longitude,line,construction,point_granularity
983122,FL,CLAY COUNTY,0,179562.23,0,0,179562.23,211372.57,0,0,0,0,30.095783,-81.713181,Residential,Wood,3
933215,FL,CLAY COUNTY,0,177733.16,0,0,177733.16,157171.16,0,0,0,0,30.110518,-81.727378,Residential,Wood,1
385951,FL,CLAY COUNTY,0,17757.58,0,0,17757.58,16938.72,0,0,0,0,30.10288,-81.705719,Residential,Wood,1
716332,FL,CLAY COUNTY,0,130129.87,0,0,130129.87,101758.33,0,0,0,0,30.068368,-81.71623,Residential,Wood,1
751262,FL,CLAY COUNTY,0,32853.77,0,0,32853.77,63592.88,0,0,0,0,30.068368,-81.71623,Residential,Wood,1
633663,FL,CLAY COUNTY,0,785.58,0,0,785.58,662.18,0,0,0,0,30.068368,-81.71623,Residential,Wood,1
105851,FL,CLAY COUNTY,0,170361.91,0,0,170361.91,177176.38,0,0,0,0,30.068368,-81.71623,Residential,Wood,1
710300,FL,CLAY COUNTY,0,1330.89,0,0,1330.89,1861.31,0,0,0,0,30.068368,-81.71623,Residential,Wood,1
703001,FL,CLAY COUNTY,0,129913.27,0,0,129913.27,101692.86,0,0,0,0,30.079785,-81.706865,Residential,Wood,3
352792,FL,CLAY COUNTY,0,366285.62,0,0,366285.62,507163.19,0,0,0,0,30.08012,-81.718352,Residential,Masonry,1
717603,FL,CLAY COUNTY,0,22512.61,0,0,22512.61,28637.17,0,0,0,0,30.08012,-81.718352,Residential,Wood,1
937659,FL,SUWANNEE COUNTY,0,9236.6,0,9236.6,9236.6,10880.22,0,0,0,0,29.959805,-82.926659,Residential,Wood,3
293022,FL,SUWANNEE COUNTY,0,96163.63,0,0,96163.63,69357.78,0,0,0,0,29.959805,-82.926659,Residential,Wood,3
310500,FL,SUWANNEE COUNTY,0,11095.92,0,0,11095.92,12737.89,0,0,0,0,29.959805,-82.926659,Residential,Wood,3
523333,FL,SUWANNEE COUNTY,218375,218375,218375,218375,218375,199030.29,0,3369.5,0,0,29.962601,-82.926155,Residential,Wood,3
779298,FL,SUWANNEE COUNTY,1300903,1300903,1300903,1300903,1300903,1772983.1,0,0,0,0,29.962601,-82.926155,Residential,Masonry,3
391831,FL,SUWANNEE COUNTY,3365,3365,3365,3365,3365,3338.05,0,87.3,0,0,29.962601,-82.926155,Residential,Wood,3
813637,FL,SUWANNEE COUNTY,3365,3365,3365,3365,3365,6095.72,0,87.3,0,0,29.962601,-82.926155,Residential,Wood,3
737515,FL,SUWANNEE COUNTY,39789,39789,39789,39789,39789,58106.58,0,0,0,0,29.962601,-82.926155,Residential,Wood,3
222653,FL,SUWANNEE COUNTY,23867,23867,23867,23867,23867,18969.79,0,0,0,0,29.962601,-82.926155,Residential,Wood,3
788533,FL,SUWANNEE COUNTY,213876,213876,213876,213876,213876,261335.18,0,0,0,0,29.962601,-82.926155,Residential,Wood,3
691681,FL,SUWANNEE COUNTY,69335,69335,69335,69335,69335,93673.33,0,1388.7,0,0,29.960735,-82.92532,Residential,Wood,3
368807,FL,SUWANNEE COUNTY,13922,13922,13922,13922,13922,12333.03,0,0,0,0,29.960735,-82.92532,Residential,Wood,3
173002,FL,SUWANNEE COUNTY,165536,165536,165536,165536,165536,239133.51,0,0,0,0,29.963396,-82.916763,Residential,Wood,1
198760,FL,SUWANNEE COUNTY,72837,72837,72837,72837,72837,86637.86,0,0,0,0,29.963396,-82.916763,Residential,Wood,1
831395,FL,SUWANNEE COUNTY,72837,72837,72837,72837,72837,98137.86,0,0,0,0,29.963396,-82.916763,Residential,Wood,1
305698,FL,SUWANNEE COUNTY,19330,19330,19330,19330,19330,30658.59,0,388.8,0,0,29.963396,-82.916763,Residential,Wood,1
515722,FL,SUWANNEE COUNTY,9935,9935,9935,9935,9935,11551.12,0,198.9,0,0,29.963396,-82.916763,Residential,Wood,1
315582,FL,SUWANNEE COUNTY,0,255878.61,0,0,255878.61,335893.66,0,0,0,0,29.958315,-82.92393,Residential,Wood,3
783533,FL,SUWANNEE COUNTY,0,153527.17,0,0,153527.17,138228.8,0,0,0,0,29.9696,-82.92767,Residential,Wood,3
630802,FL,SUWANNEE COUNTY,0,255878.61,0,0,255878.61,177339.73,0,0,0,0,29.959303,-82.927582,Residential,Wood,1
303866,FL,SUWANNEE COUNTY,0,102351.35,0,0,102351.35,95132.8,0,0,0,0,29.958903,-82.922729,Residential,Wood,3
828788,FL,SUWANNEE COUNTY,0,155389.66,0,0,155389.66,135139.65,0,0,0,0,29.95822,-82.922323,Residential,Wood,1
751390,FL,SUWANNEE COUNTY,0,137233.8,0,0,137233.8,113919.58,0,0,0,0,29.965832,-82.933777,Residential,Wood,3
972562,FL,SUWANNEE COUNTY,0,123596.05,0,0,123596.05,183015.09,0,0,0,0,29.965721,-82.933777,Residential,Wood,3
367531,FL,SUWANNEE COUNTY,0,107111.11,0,0,107111.11,88218.85,0,0,0,0,29.965717,-82.933777,Residential,Wood,3
381360,FL,SUWANNEE COUNTY,0,96309.32,0,0,96309.32,85911,0,0,0,0,29.95775,-82.923635,Residential,Wood,3
920232,FL,NASSAU COUNTY,0,103031.7,0,0,103031.7,168333.97,0,0,0,0,30.39331,-81.93397,Residential,Wood,1
727659,FL,NASSAU COUNTY,338933.5,338933.5,338933.5,338933.5,338933.5,385816.61,0,0,0,0,30.56267,-81.830329,Residential,Wood,1
371817,FL,NASSAU COUNTY,272339,272339,272339,272339,272339,313565.56,0,0,0,0,30.56267,-81.830329,Residential,Wood,1
983033,FL,NASSAU COUNTY,129690,129690,129690,129690,129690,129635.53,0,0,0,0,30.561651,-81.830193,Residential,Wood,1
578286,FL,NASSAU COUNTY,123210,123210,123210,123210,123210,120335.61,0,0,0,0,30.56267,-81.830329,Residential,Wood,1
337276,FL,NASSAU COUNTY,0,3698.63,0,0,3698.63,3939.13,0,0,0,0,30.56106,-81.82632,Residential,Wood,3
377786,FL,NASSAU COUNTY,2115760.5,2115760.5,0,0,2115760.5,3057739.39,0,0,0,0,30.5579,-81.8239,Commercial,Reinforced Masonry,3
265907,FL,NASSAU COUNTY,0,93538.58,0,0,93538.58,118301.07,0,0,0,0,30.56106,-81.82632,Residential,Wood,3
107560,FL,NASSAU COUNTY,0,1037311.13,0,0,1037311.13,1387255.23,0,0,0,0,30.56106,-81.82632,Residential,Masonry,3
908183,FL,NASSAU COUNTY,0,15363.3,0,0,15363.3,11825.56,0,0,0,0,30.57185,-81.82383,Residential,Wood,3
356023,FL,NASSAU COUNTY,0,13893.35,0,0,13893.35,13988.5,0,0,0,0,30.562835,-81.826525,Residential,Wood,3
575299,FL,NASSAU COUNTY,0,316618.23,0,0,316618.23,230328.99,0,0,0,0,30.567566,-81.826583,Residential,Wood,1
790378,FL,NASSAU COUNTY,0,53833.66,0,0,53833.66,63053.72,0,0,0,0,30.60895,-81.83635,Residential,Wood,3
801776,FL,NASSAU COUNTY,0,295269.11,0,0,295269.11,388965.65,0,0,0,0,30.59925,-81.81973,Residential,Wood,1
291781,FL,NASSAU COUNTY,0,723733.17,0,0,723733.17,955908.09,0,0,0,0,30.53673,-81.77396,Residential,Masonry,3
537286,FL,NASSAU COUNTY,0,1731572,0,1731572,1731572,1355183.32,0,0,0,0,30.555161,-81.825683,Residential,Masonry,1
289305,FL,COLUMBIA COUNTY,135350,135350,135350,135350,135350,163978.1,0,0,0,0,30.105968,-82.66227,Residential,Wood,3
697309,FL,COLUMBIA COUNTY,60300,60300,60300,60300,60300,77678.36,0,0,0,0,30.1018,-82.7093,Residential,Wood,1
633933,FL,COLUMBIA COUNTY,22500,22500,22500,22500,22500,19501.76,0,0,0,0,30.1018,-82.7093,Residential,Wood,3
963511,FL,COLUMBIA COUNTY,0,33212.32,0,0,33212.32,33250.37,0,0,0,0,30.1018,-82.7093,Residential,Wood,3
729639,FL,COLUMBIA COUNTY,0,360128.2,0,0,360128.2,626132.36,0,0,0,0,30.1653,-82.73303,Residential,Masonry,1
862583,FL,COLUMBIA COUNTY,0,32169.69,0,0,32169.69,37291.11,0,0,0,0,30.1018,-82.7093,Residential,Wood,3
371891,FL,COLUMBIA COUNTY,0,50550.75,0,0,50550.75,39526.38,0,0,0,0,30.17399,-82.57017,Residential,Wood,3
785595,FL,COLUMBIA COUNTY,32300,32300,32300,32300,32300,53762.62,0,0,0,0,30.1515,-82.6126,Residential,Wood,3
567696,FL,COLUMBIA COUNTY,0,10171.26,0,0,10171.26,16798.29,0,0,0,0,30.16269,-82.63,Residential,Wood,3
219025,FL,COLUMBIA COUNTY,0,155332.88,0,0,155332.88,176189.89,0,0,0,0,30.16269,-82.63,Residential,Wood,3
337216,FL,COLUMBIA COUNTY,0,3698.63,0,0,3698.63,3323.38,0,0,0,0,30.16269,-82.63,Residential,Wood,3
305131,FL,COLUMBIA COUNTY,0,3623.3,0,3623.3,3623.3,3525.86,0,0,0,0,30.16269,-82.63,Residential,Wood,3
625575,FL,COLUMBIA COUNTY,0,33287.76,0,0,33287.76,27375.62,0,0,0,0,30.16269,-82.63,Residential,Wood,3
262109,FL,COLUMBIA COUNTY,0,21267.18,0,0,21267.18,23830.39,0,0,0,0,30.163631,-82.630976,Residential,Wood,1
228357,FL,COLUMBIA COUNTY,0,729556.73,0,0,729556.73,889825.76,0,0,0,0,30.163631,-82.630976,Residential,Masonry,1
622799,FL,COLUMBIA COUNTY,0,350336.13,0,0,350336.13,338039.26,0,0,0,0,30.163631,-82.630976,Residential,Wood,1
233271,FL,COLUMBIA COUNTY,0,2135963.6,0,2135963.6,2135963.6,1728721.59,0,0,0,0,30.163631,-82.630976,Commercial,Reinforced Masonry,1
932950,FL,COLUMBIA COUNTY,0,3623.3,0,3623.3,3623.3,3782.1,0,0,0,0,30.163631,-82.630976,Residential,Wood,1
631952,FL,COLUMBIA COUNTY,0,2369639.6,0,2369639.6,2369639.6,2708363.63,0,0,0,0,30.1515,-82.6126,Commercial,Reinforced Masonry,3
796260,FL,COLUMBIA COUNTY,0,913073.3,0,913073.3,913073.3,1296339.3,0,0,0,0,30.1515,-82.6126,Residential,Masonry,3
301822,FL,COLUMBIA COUNTY,0,3032930.5,0,3032930.5,3032930.5,3181868.99,0,0,0,0,30.1515,-82.6126,Commercial,Reinforced Masonry,3
559927,FL,COLUMBIA COUNTY,0,233997.65,0,0,233997.65,255975.89,0,0,0,0,30.1515,-82.6126,Residential,Wood,3
223300,FL,COLUMBIA COUNTY,0,912600,0,912600,912600,1137237.71,0,0,0,0,30.1515,-82.6126,Residential,Masonry,3
123936,FL,COLUMBIA COUNTY,0,1920733.9,0,1920733.9,1920733.9,2837762.3,0,0,0,0,30.1515,-82.6126,Commercial,Reinforced Masonry,3
333818,FL,COLUMBIA COUNTY,0,355753.6,0,355753.6,355753.6,696809.59,0,0,0,0,30.1515,-82.6126,Residential,Masonry,3
253323,FL,COLUMBIA COUNTY,0,1552693.95,0,0,1552693.95,1552593.58,0,0,0,0,30.1515,-82.6126,Residential,Masonry,3
237333,FL,COLUMBIA COUNTY,0,8910,0,8910,8910,13521.83,0,0,0,0,30.1515,-82.6126,Residential,Wood,3
882598,FL,COLUMBIA COUNTY,0,398968.2,0,398968.2,398968.2,323087.23,0,0,0,0,30.1515,-82.6126,Residential,Masonry,3
386918,FL,COLUMBIA COUNTY,0,3500,0,3500,3500,3238.31,0,0,0,0,30.1515,-82.6126,Residential,Wood,3
397337,FL,COLUMBIA COUNTY,0,31071.6,0,31071.6,31071.6,57802.5,0,0,0,0,30.1515,-82.6126,Residential,Wood,3
526833,FL,COLUMBIA COUNTY,0,3956125.85,0,0,3956125.85,7279557.65,0,0,0,0,30.1515,-82.6126,Commercial,Reinforced Masonry,3
623300,FL,COLUMBIA COUNTY,0,30500,0,30500,30500,33160.93,0,0,0,0,30.1515,-82.6126,Residential,Wood,3
826170,FL,COLUMBIA COUNTY,0,135868.99,0,0,135868.99,233280.26,0,0,0,0,30.185885,-82.613795,Residential,Wood,1
185383,FL,COLUMBIA COUNTY,0,36783.23,0,0,36783.23,58337.63,0,0,0,0,30.185885,-82.613795,Residential,Wood,1
920003,FL,COLUMBIA COUNTY,0,1086930.9,0,0,1086930.9,1770235.33,0,0,0,0,30.185885,-82.613795,Residential,Masonry,1
273236,FL,COLUMBIA COUNTY,0,16767.17,0,0,16767.17,17228.6,0,0,0,0,30.16639,-82.63503,Residential,Wood,1
323636,FL,COLUMBIA COUNTY,0,1303900,0,1303900,1303900,1830633.78,0,32137,0,0,30.176,-82.65581,Residential,Masonry,1
970906,FL,COLUMBIA COUNTY,0,3696520.5,0,0,3696520.5,6332697.9,0,0,350000,0,30.00777,-82.59693,Commercial,Reinforced Masonry,3
227898,FL,COLUMBIA COUNTY,0,67892.38,0,0,67892.38,86628.09,0,0,0,0,30.17509,-82.66252,Residential,Wood,1
525138,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,125938.17,0,0,0,0,30.17501,-82.66205,Residential,Wood,1
923627,FL,COLUMBIA COUNTY,0,67892.38,0,0,67892.38,63169.8,0,0,0,0,30.173776,-82.662277,Residential,Wood,1
619733,FL,COLUMBIA COUNTY,0,67892.38,0,0,67892.38,80898.23,0,0,0,0,30.17376,-82.66251,Residential,Wood,1
910727,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,91233.65,0,0,0,0,30.1735,-82.66205,Residential,Wood,1
363637,FL,COLUMBIA COUNTY,0,67892.38,0,0,67892.38,92333.77,0,0,0,0,30.17337,-82.66251,Residential,Wood,1
512519,FL,COLUMBIA COUNTY,0,101009.36,0,0,101009.36,98181.1,0,0,0,0,30.17317,-82.66218,Residential,Wood,1
903303,FL,COLUMBIA COUNTY,0,67892.38,0,0,67892.38,66272.56,0,0,0,0,30.17351,-82.66351,Residential,Wood,1
835339,FL,COLUMBIA COUNTY,0,67892.38,0,0,67892.38,99935.87,0,0,0,0,30.17375,-82.66313,Residential,Wood,1
891725,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,139315.11,0,0,0,0,30.17513,-82.66331,Residential,Wood,1
923503,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,106663.3,0,0,0,0,30.17373,-82.66338,Residential,Wood,1
292337,FL,COLUMBIA COUNTY,0,132603.33,0,0,132603.33,115117.07,0,0,0,0,30.17663,-82.66313,Residential,Wood,3
363828,FL,COLUMBIA COUNTY,0,132603.33,0,0,132603.33,216561.93,0,0,0,0,30.17638,-82.66313,Residential,Wood,3
110390,FL,COLUMBIA COUNTY,0,91763.15,0,0,91763.15,70363.02,0,0,0,0,30.17623,-82.66306,Residential,Wood,3
380733,FL,COLUMBIA COUNTY,0,357853.5,0,0,357853.5,335588.57,0,0,0,0,30.17698,-82.67019,Residential,Masonry,3
993336,FL,COLUMBIA COUNTY,0,385380.82,0,0,385380.82,558330.32,0,0,0,0,30.173386,-82.671326,Residential,Masonry,3
933992,FL,ST  JOHNS COUNTY,0,213596.36,0,0,213596.36,190329.82,0,0,0,0,29.7917,-81.3271,Residential,Wood,3
635831,FL,ST  JOHNS COUNTY,0,1051338.32,0,0,1051338.32,1069831.98,0,0,0,0,29.7917,-81.3271,Residential,Masonry,3
737836,FL,ST  JOHNS COUNTY,0,6372.62,0,0,6372.62,9957.87,0,0,0,0,29.7917,-81.3271,Residential,Wood,3
382357,FL,ST  JOHNS COUNTY,0,159031.52,0,0,159031.52,239983.63,0,0,0,0,29.776566,-81.37171,Residential,Wood,1
573787,FL,ST  JOHNS COUNTY,0,12935.23,0,0,12935.23,19023.97,0,0,0,0,29.776566,-81.37171,Residential,Wood,1
831318,FL,ST  JOHNS COUNTY,0,29589.12,0,0,29589.12,35207.53,0,0,0,0,29.776566,-81.37171,Residential,Wood,1
968562,FL,ST  JOHNS COUNTY,0,12935.23,0,0,12935.23,16859.05,0,0,0,0,29.776566,-81.37171,Residential,Wood,1
576323,FL,ST  JOHNS COUNTY,29061,29061,29061,29061,29061,30739.33,0,0,0,0,29.7255,-81.366309,Residential,Wood,1
290335,FL,ST  JOHNS COUNTY,38087,38087,38087,38087,38087,68008.1,0,0,0,0,29.7255,-81.366309,Residential,Wood,1
526086,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,133325.18,0,0,0,0,29.7255,-81.366309,Residential,Wood,1
119823,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,168236.71,0,0,0,0,29.7255,-81.366309,Residential,Wood,1
397313,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,176279.13,0,0,0,0,29.7255,-81.366309,Residential,Wood,1
330883,FL,ST  JOHNS COUNTY,3968,3968,3968,3968,3968,5265.92,0,0,0,0,29.7255,-81.366309,Residential,Wood,1
892551,FL,ST  JOHNS COUNTY,157005,157005,157005,157005,157005,131773.3,0,3130.1,0,0,29.7255,-81.366309,Residential,Wood,1
670595,FL,ST  JOHNS COUNTY,359,359,359,359,359,837.36,0,0,0,0,29.7255,-81.366309,Residential,Wood,1
193101,FL,ST  JOHNS COUNTY,359,359,359,359,359,328.69,0,0,0,0,29.7255,-81.366309,Residential,Wood,1
167200,FL,ST  JOHNS COUNTY,1062,1062,1062,1062,1062,1602.72,0,0,0,0,29.7255,-81.366309,Residential,Wood,1
139063,FL,ST  JOHNS COUNTY,2303,2303,2303,2303,2303,2373.16,0,0,0,0,29.7255,-81.366309,Residential,Wood,1
836636,FL,ST  JOHNS COUNTY,1376,1376,1376,1376,1376,1935.03,0,0,0,0,29.7255,-81.366309,Residential,Wood,1
310177,FL,NASSAU COUNTY,185030,185030,185030,185030,185030,313975.87,0,0,0,0,30.57332,-81.35291,Residential,Wood,1
865352,FL,NASSAU COUNTY,0,11095.92,0,0,11095.92,11961.62,0,0,0,0,30.67363,-81.36113,Residential,Wood,3
783329,FL,NASSAU COUNTY,0,8321.93,0,0,8321.93,9636.79,0,0,0,0,30.67363,-81.36113,Residential,Wood,3
878060,FL,NASSAU COUNTY,0,199726.56,0,0,199726.56,277733.75,0,0,0,0,30.67323,-81.36052,Residential,Wood,1
935332,FL,NASSAU COUNTY,0,118356.38,0,0,118356.38,182860.76,0,0,0,0,30.67323,-81.36052,Residential,Wood,1
356376,FL,NASSAU COUNTY,0,17568.53,0,0,17568.53,29936.79,0,0,0,0,30.67323,-81.36052,Residential,Wood,1
363001,FL,NASSAU COUNTY,0,137935.6,0,137935.6,137935.6,238338.59,0,0,0,0,30.67353,-81.36016,Residential,Wood,1
378863,FL,NASSAU COUNTY,0,723933.33,0,0,723933.33,767337.85,0,0,0,0,30.67513,-81.33708,Residential,Masonry,1
600302,FL,NASSAU COUNTY,0,8283385.6,0,0,8283385.6,8073933.68,0,0,0,0,30.63687,-81.35801,Commercial,Reinforced Masonry,1
383983,FL,NASSAU COUNTY,338398,338398,0,0,338398,636263.11,0,0,0,0,30.650133,-81.353307,Residential,Masonry,1
991615,FL,NASSAU COUNTY,0,99960.9,0,0,99960.9,88679.21,0,0,0,0,30.6202,-81.3719,Residential,Wood,3
633573,FL,NASSAU COUNTY,0,669692.78,0,0,669692.78,831130.78,0,0,0,0,30.576765,-81.353979,Residential,Masonry,1
853278,FL,NASSAU COUNTY,0,230539.39,0,0,230539.39,312765.59,0,0,0,0,30.576765,-81.353979,Residential,Wood,1
100658,FL,NASSAU COUNTY,0,331518.28,0,0,331518.28,363703.76,0,0,0,0,30.6202,-81.3719,Residential,Wood,3
333115,FL,NASSAU COUNTY,0,5919.86,0,0,5919.86,9839.93,0,0,0,0,30.576765,-81.353979,Residential,Wood,1
760337,FL,NASSAU COUNTY,0,77326.73,0,0,77326.73,73196.13,0,0,0,0,30.61988,-81.36815,Residential,Wood,1
883738,FL,NASSAU COUNTY,0,765763.8,0,0,765763.8,735938.78,0,0,0,0,30.576765,-81.353979,Residential,Masonry,1
610102,FL,NASSAU COUNTY,0,7532013.35,0,0,7532013.35,10710000,0,0,0,0,30.671095,-81.362097,Commercial,Reinforced Masonry,1
830823,FL,NASSAU COUNTY,0,963962.79,0,0,963962.79,977226.92,0,0,0,0,30.67,-81.362,Residential,Masonry,3
618363,FL,NASSAU COUNTY,0,121066.57,0,0,121066.57,115313.7,0,0,0,0,30.596535,-81.536837,Residential,Wood,1
712563,FL,NASSAU COUNTY,0,70963.83,0,0,70963.83,72362.85,0,0,0,0,30.596535,-81.536837,Residential,Wood,1
393030,FL,NASSAU COUNTY,0,755739,0,0,755739,658571.77,0,0,0,0,30.57326,-81.35367,Residential,Masonry,1
188150,FL,NASSAU COUNTY,0,2162232,0,2162232,2162232,2520816.55,0,0,0,0,30.65372,-81.35105,Commercial,Reinforced Masonry,1
589632,FL,NASSAU COUNTY,0,615131.68,0,0,615131.68,895926.17,0,0,0,0,30.63935,-81.355553,Residential,Masonry,1
836109,FL,NASSAU COUNTY,0,135000,0,135000,135000,138827.52,0,3050,0,0,30.570326,-81.351576,Residential,Wood,3
399079,FL,NASSAU COUNTY,0,161738,0,161738,161738,235301.93,0,0,0,0,30.5708,-81.33959,Residential,Wood,1
680135,FL,NASSAU COUNTY,0,163383,0,163383,163383,193813.85,0,0,0,0,30.5708,-81.33959,Residential,Wood,1
621379,FL,NASSAU COUNTY,0,170532,0,170532,170532,178365.15,0,0,0,0,30.571087,-81.338578,Residential,Wood,1
606710,FL,NASSAU COUNTY,0,181980,0,181980,181980,181216.05,0,5359.3,0,0,30.570853,-81.338212,Residential,Wood,1
333319,FL,NASSAU COUNTY,0,181980,0,181980,181980,151151.13,0,5359.3,0,0,30.571153,-81.338333,Residential,Wood,1
228591,FL,NASSAU COUNTY,0,186012,0,186012,186012,176389.97,0,0,0,0,30.5708,-81.33959,Residential,Wood,1
721610,FL,NASSAU COUNTY,0,192338,0,192338,192338,210005.55,0,0,0,0,30.571323,-81.350188,Residential,Wood,1
507395,FL,NASSAU COUNTY,0,197603,0,197603,197603,203350.71,0,0,0,0,30.570711,-81.338067,Residential,Wood,1
213399,FL,NASSAU COUNTY,0,198368,0,198368,198368,202538.58,0,0,0,0,30.571777,-81.339326,Residential,Wood,1
579300,FL,NASSAU COUNTY,0,198612,0,198612,198612,226675.88,0,0,0,0,30.5716,-81.35133,Residential,Wood,1
509951,FL,NASSAU COUNTY,0,200052,0,200052,200052,335395.98,0,0,0,0,30.57098,-81.33838,Residential,Wood,1
930798,FL,NASSAU COUNTY,0,201276,0,201276,201276,216909.11,0,0,0,0,30.571613,-81.350577,Residential,Wood,1
729237,FL,NASSAU COUNTY,0,207323,0,207323,207323,252333.61,0,0,0,0,30.5708,-81.33959,Residential,Wood,1
288333,FL,NASSAU COUNTY,0,208836,0,208836,208836,310058.81,0,0,0,0,30.5708,-81.33959,Residential,Wood,1
275351,FL,NASSAU COUNTY,0,212336,0,212336,212336,225030.91,0,0,0,0,30.57163,-81.350279,Residential,Wood,1
976690,FL,NASSAU COUNTY,0,218052,0,218052,218052,332681.93,0,0,0,0,30.571306,-81.35015,Residential,Wood,1
507111,FL,NASSAU COUNTY,0,218312,0,218312,218312,222125,0,0,0,0,30.571608,-81.350661,Residential,Wood,1
537358,FL,NASSAU COUNTY,0,221076,0,221076,221076,277280.37,0,0,0,0,30.571609,-81.350615,Residential,Wood,1
827732,FL,NASSAU COUNTY,0,226763,0,226763,226763,303833.37,0,0,0,0,30.571665,-81.350089,Residential,Wood,1
229389,FL,NASSAU COUNTY,0,237132,0,237132,237132,282225.02,0,0,0,0,30.571615,-81.350531,Residential,Wood,1
175251,FL,NASSAU COUNTY,0,239652,0,239652,239652,178583.88,0,0,0,0,30.571812,-81.338822,Residential,Wood,1
590033,FL,NASSAU COUNTY,0,235052,0,235052,235052,231166.36,0,0,0,0,30.571596,-81.350873,Residential,Wood,1
376037,FL,NASSAU COUNTY,0,235052,0,235052,235052,306551.23,0,0,0,0,30.5708,-81.33959,Residential,Wood,1
673960,FL,NASSAU COUNTY,0,257868,0,257868,257868,338372.33,0,0,0,0,30.57086,-81.338173,Residential,Wood,1
733790,FL,NASSAU COUNTY,0,6381518.3,0,6381518.3,6381518.3,8757880.98,0,0,0,0,30.570326,-81.351576,Commercial,Reinforced Masonry,3
817283,FL,NASSAU COUNTY,0,15390000,0,15390000,15390000,11790000,0,361339,0,0,30.570221,-81.351309,Commercial,Reinforced Concrete,1
